title,url,poster_url,release_date,rating,runtime,certificate,director,overview,language,cast,tmdb_id
Death Whisperer: Saming the Werebeast,https://cinejoy.to/movie/1556321-death-whisperer-saming-the-werebeast-2026,https://image.tmdb.org/t/p/w780/ssg1qGCCRQEkwBNWHItDppBRQE2.jpg,"Sep 30, 2026",0.0,1h 51m,,Narit Yuvaboon,"Follows the search for a missing military officer in the jungle of Khao Khwang, where legend says man-eating tiger spirit Saming takes human form in 1960s Thailand.",TH,Nadech Kugimiya | Yak | Ongart Cheamcharoenpornkul | Sergeant Paphan | Maylada Susri | Nampetch | Wichapas Sumettikul | Thewin | Sahajak Boonthanakit | Rit | Akarin Akaranitimaytharatt | Phadej | Dan Chupong | Thap | C | Chanintorn Jitpreeda | Wuth | N | Natthachai Sirinanthachot | Nom,1556321
Other Mommy,https://cinejoy.to/movie/1400837-other-mommy-2026,https://image.tmdb.org/t/p/w780/yf5EKtrTKM8pla1TpNA5TsZgoTp.jpg,"Oct 7, 2026",0.0,93,R,Rob Savage,"A young girl, Bela, forms a relationship with a sinister entity in her home who looks uncannily like her own mother.",EN,Jessica Chastain | Ursula / Other Mommy | Arabella Olivia Clark | Bela | Jay Duplass | Russ | Dichen Lachman | Arian Moayed | Karen Allen | Grandma Ruth | Sean Kaufman | Adam Silver | Carrie Dimaculangan | Callie | Travis Nelson | Tony | Hayley Spelman | Other Mommy | R | Rosie Anne O'Gorman,1400837
Bokshi,https://cinejoy.to/movie/718833-bokshi-2026,https://image.tmdb.org/t/p/w780/8XPPKEgO7sJs0rP53h3kUPT1tTW.jpg,"Oct 9, 2026",0.0,2h 22m,R,Bhargav Saikia,"Anahita, traumatised by the brutal disappearance of her mother, finds comfort in Shalini, her history teacher. On an unconventional school excursion to a mysterious prehistoric site, she confronts her terrifying destiny.",HI,Prasanna Bisht | Anahita | Mansi Multani | Shalini | Swaroopa Ghosh | Kadambari | R | Rohit Tiwari | Lalit | S | Sandeep Shridhar Dhabale | Avinash | Shernaz Patel | Bokshi (voice) | S | Siddharth Shaw | Rishav | T | Trishala Tamang | Punam,718833
Street Fighter,https://cinejoy.to/movie/1153576-street-fighter-2026,https://image.tmdb.org/t/p/w780/5YfPIIMzGBkIjHt3PTXBWyfBTGS.jpg,"Oct 14, 2026",0.0,2h 5m,PG-13,Kitao Sakurai,"In 1993, estranged Street Fighters Ryu and Ken Masters are thrown back into combat when the mysterious Chun-Li recruits them for the next World Warrior Tournament: a brutal clash of fists, fate, and fury. But behind this battle royale lies a deadly conspiracy that forces them to face off against each other and the demons of their past. And if they don't, it's GAME OVER!",EN,Andrew Koji | Ryu | Noah Centineo | Ken Masters | Callina Liang | Chun-Li | Joe Anoa'i | Akuma | David Dastmalchian | M. Bison | Cody Rhodes | Guile | Andrew Schulz | Dan Hibiki | Eric André | Don Sauvage | Vidyut Jammwal | Dhalsim | Mel Jarnson | Cammy,1153576
The Mongoose,https://cinejoy.to/movie/1294189-the-mongoose-2026,https://image.tmdb.org/t/p/w780/9f0SZYEElYbjj9syw5aZREnfeDt.jpg,"Oct 30, 2026",0.0,1h 39m,,Mark Vanselow,"A falsely accused war hero with nothing to lose leads police on an epic televised cross-country car chase, helped by members of his former Special Forces Army battalion and closely monitored by a fascinated public rooting for his safe getaway.",EN,Liam Neeson | Ryan 'Fang' Flanagan | Marisa Tomei | Tara | Ving Rhames | Tanker | Michael Chiklis | Major Walter Pope | Brett Tucker | Todd | Stella Stocker | Helene (voice) | Hamish Michael | Captain Parks | Toby Truslove | Captain McBride | Eddie Baroo | Veteran Seth | M | Maurice Marvel Meredith,1294189
Wild Horse Nine,https://cinejoy.to/movie/891621-wild-horse-nine-2026,https://image.tmdb.org/t/p/w780/3uLA0ujne91bkzFStZICCYeqhnt.jpg,"Nov 4, 2026",0.0,1h 58m,R,Martin McDonagh,"Shortly before the 1973 Chilean coup, CIA agents Chris and Lee are dispatched from Santiago to Easter Island by their bureau chief, MJ. Amongst the Island's iconic statues, and as the longtime partners wrestle with their dark pasts and present conspiracies, Chris's newfound bond with a pair of rebellious students threatens to send everyone’s trip to this remote paradise sideways.",EN,John Malkovich | Chris | Sam Rockwell | Lee | Steve Buscemi | MJ | Mariana di Girolamo | Monica | Ailín Salas | Alicia | Tom Waits | Parker Posey | Marge | Paola Giannini | S | Samuel Wayt | Teenage Kid,891621
Dune: Part Three,https://cinejoy.to/movie/1170608-dune-part-three-2026,https://image.tmdb.org/t/p/w780/dXOqWj2kjJQkHNbfoS8iYzbuwO3.jpg,"Dec 15, 2026",0.0,2h 20m,PG-13,Denis Villeneuve,Emperor Paul Atreides faces the fallout from his ascent to power as political plots and a galaxy-wide holy war endanger the future only he can see.,EN,Timothée Chalamet | Paul Atreides | Zendaya | Chani | Jason Momoa | Hayt | Florence Pugh | Princess Irulan | Rebecca Ferguson | Lady Jessica | Isaach de Bankolé | Farok | Charlotte Rampling | Reverend Mother Mohiam | Anya Taylor-Joy | Alia Atreides | Robert Pattinson | Scytale | Javier Bardem | Stilgar,1170608
Avengers: Doomsday,https://cinejoy.to/movie/1003596-avengers-doomsday-2026,https://image.tmdb.org/t/p/w780/uttJRcb0wwlrH71w7PQNr8AktD2.jpg,"Dec 16, 2026",0.0,2h 45m,,Joe Russo,Beloved heroes from three distinct universes are set on a deadly collision course and face an existential threat unlike anything they've ever encountered.,EN,Robert Downey Jr. | Victor von Doom / Doctor Doom | Chris Evans | Steve Rogers | Chris Hemsworth | Thor | Pedro Pascal | Reed Richards / Mister Fantastic | Paul Rudd | Scott Lang / Ant-Man | Anthony Mackie | Sam Wilson / Captain America | Florence Pugh | Yelena Belova | Vanessa Kirby | Sue Storm / Invisible Woman | Ebon Moss-Bachrach | Ben Grimm / The Thing | Wyatt Russell | John Walker,1003596
Ice Age: Boiling Point,https://cinejoy.to/movie/1384758-ice-age-boiling-point-2027,https://image.tmdb.org/t/p/w780/1Ky8ZGo6AQTNahyDg24grfhEUPu.jpg,"Feb 3, 2027",0.0,0,PG,John Donkin,"A dinosaur-and-lava-filled madcap adventure takes Manny, Sid, Diego, Ellie, Buck, acorn-obsessed Scrat – this time joined by Baby Scrat and the enormous Jurassic Scrat – and the rest of the herd to visit never before-seen corners of the treacherous Lost World.",EN,Ray Romano | Manny (voice) | Denis Leary | Diego (voice) | John Leguizamo | Sid (voice) | Simon Pegg | Buck (voice) | Queen Latifah | Ellie (voice) | Seann William Scott | Crash (voice) | Josh Peck | Eddie (voice) | Jennifer Lopez | Shira (voice) | Jessie J | Brooke (voice) | Keke Palmer | Peaches (voice),1384758
Avengers: Secret Wars,https://cinejoy.to/movie/1003598-avengers-secret-wars-2027,https://image.tmdb.org/t/p/w780/rytc6Lf4447C0CDncwFa4gxe0vY.jpg,"Dec 15, 2027",0.0,0,,Joe Russo,An upcoming film in Phase Six of the Marvel Cinematic Universe (MCU) and the finale of The Multiverse Saga.,EN,Robert Downey Jr. | Victor von Doom / Doctor Doom | Pedro Pascal | Reed Richards / Mister Fantastic | Vanessa Kirby | Sue Storm / Invisible Woman | Ebon Moss-Bachrach | Ben Grimm / The Thing | Joseph Quinn | Johnny Storm / Human Torch | Sebastian Stan | Bucky Barnes / Winter Soldier | Florence Pugh | Yelena Belova | David Harbour | Alexei Shostakov | Wyatt Russell | John Walker | Hannah John-Kamen | Ava Starr,1003598
