title,url,poster_url,release_date,rating,runtime,certificate,director,overview,language,cast,tmdb_id
Digger,https://cinejoy.to/movie/1248832-digger-2026,https://image.tmdb.org/t/p/w500/1ATXKrIPJyKNwnJ6lcG088Sa6zi.jpg,2026-09-30,0.0,0,,Alejandro G. Iñárritu,The most powerful man in the world embarks on a frantic mission to prove he is humanity's savior before the disaster he's unleashed destroys everything.,en,Tom Cruise as Digger Rockwell | Riz Ahmed as Ganesh | John Goodman as President Compson | Sandra Hüller as Emma | Michael Stuhlbarg as Vice President | Jesse Plemons as Kenny | Robert John Burke | Emma D'Arcy as Lina | Burn Gorman as Amos | Sophie Wilde,1248832
Mayday,https://cinejoy.to/movie/1137844-mayday-2026,https://image.tmdb.org/t/p/w500/hVXjX1jLZ1ljFSNGXpjJfbTUOa7.jpg,2026-09-03,8.002,111,,Jonathan Goldstein,"When a U.S. Navy pilot on a top-secret mission during the Cold War gets trapped behind enemy lines, his only chance at survival is to form an alliance with an eccentric ex-KGB agent.",en,Ryan Reynolds as Troy Kelly | Kenneth Branagh as Nikolai Ustinov | Marcin Dorociński as Alexander Volkov | Maria Bakalova as Anna Ustinov | David Morse as Harold Kelly | Clark Johnson as CDR Keith Hardwick | Wendy Crewson as Assistant Director Karen Meadows | Louis Cancelmi as Maj Pete Sanders | Josh Hamilton as Consul General Dan Hennessy | Alex Mallari Jr. as Danny 'Longshot' Bowers,1137844
Clash of the Thundermans,https://cinejoy.to/movie/1506560-clash-of-the-thundermans-2026,https://image.tmdb.org/t/p/w500/16oqRrWVzQm6qdGfBxvziZ2UiMT.jpg,2026-09-03,7.0,72,,Trevor Kirschner,"When Chloe develops a destructive new superpower, the Hero League orders her to an elite boarding school for superheroes to learn control of her abilities. Faced with the prospect of sending Chloe away for years, the Thundermans split apart, with Phoebe, Barb and Billy taking her into hiding. Max, Hank, and Nora track their rogue family members, until the two factions face off against each other in a full-on battle for the Thundermans’ future.",en,Kira Kosarin as Phoebe Thunderman | Jack Griffo as Max Thunderman | Maya Le Clark as Chloe Thunderman | Rosa Blasi as Barb Thunderman | Chris Tallman as Hank Thunderman | Diego Velazquez as Billy Thunderman | Addison Riecke as Nora Thunderman | Daniele Gaither as President Kickbutt | Ariel Winter as Cognita | Dana Snyder as Dr. Colosso (voice),1506560
The End of Oak Street,https://cinejoy.to/movie/1408162-vishwanath-sons-2026,https://image.tmdb.org/t/p/w500/fYXqpgPmHMphSF2W30GbTeJVIa5.jpg,2026-08-12,7.004,100,,David Robert Mitchell,"After a mysterious cosmic event rips Oak Street from suburbia and transports their neighborhood to someplace unknown, the Platt family soon discovers that their very survival depends on them sticking together as they navigate their now unrecognizable surroundings.",en,Anne Hathaway as Denise Platt | Ewan McGregor as Greg Platt | Maisy Stella as Audrey Platt | Christian Convery as Brian Platt | Jordan Alexa Davis as Jeannette Christiansen | P.J. Byrne as Mel Jacobs | Hudson Meek as Kaden Tucker | Anne Gee Byrd as Mrs. Huddleston | Emily Kuroda as Mrs. Valcourt | Simms May as Zachary,1101383
The Rivals of Amziah King,https://cinejoy.to/movie/1124142-the-rivals-of-amziah-king-2026,https://image.tmdb.org/t/p/w500/j2ajSnvBSb0rvDJrlTWTsxsmHWJ.jpg,2026-08-13,6.821,131,,Andrew Patterson,"Deep within the backwoods of rural Oklahoma, charismatic and musically gifted Amziah King herds a bluegrass-playing band of misfits while overseeing the premier honey-making operation in town. When Amziah’s estranged foster daughter unexpectedly returns, Amziah leaps at the possibility to renew connection and create a family business. But the honey game is ruthless, and Amziah’s rivals threaten to destroy everything he has built.",en,Matthew McConaughey as Amziah King | Kurt Russell as Dob McCoy | Angelina LookingGlass as Kateri | Cole Sprouse as Oat | Scott Shepherd as Chimmy | Rob Morgan as Rippy | Tony Revolori as Colemar | Jake Horowitz as Remick | Owen Teague as Pirate | Bruce Davis as Sunderland,1124142
Nimrods,https://cinejoy.to/movie/1432474-nimrods-2026,https://image.tmdb.org/t/p/w500/4h2WtFCLZPXbydbpi248uqOT9yz.jpg,2026-08-06,6.9,107,,Lee Kirk,"Three friends journey from Kansas City to Los Angeles, mistakenly believing that their band is opening for Green Day on New Year’s Eve.",en,Mason Thames as Tommy | Kylr Coffman as Fred | Ryan Foust as Chad | Jenna Fischer as Jodi | Mckenna Grace as Olivia | Angela Kinsey as Wilma | Keen Ruffalo as Wayne | Ignacio Diaz-Silverio as Keith | Billie Joe Armstrong as Self | Mike Dirnt as Self,1432474
Hope,https://cinejoy.to/movie/1058424-hope-2026,https://image.tmdb.org/t/p/w500/1n37BJchWHLiSYQkuFxe5KjB951.jpg,2026-07-15,7.358,157,,Na Hong-jin,"In the remote South Korean village of Hope Harbor, police chief Bum-seok and officer Sung-ae are called to investigate a mysterious creature wreaking havoc on the community. But all is not as it seems, and perceptions can be misleading. What begins as ignorance plants the seed of disaster, escalating through human conflict into a tragedy of cosmic proportions.",ko,Hwang Jung-min as Go Bum-seok | Zo In-sung as Go Sung-ki | Hoyeon as Lim Sung-ae | Alicia Vikander as J'aur | Michael Fassbender as Ma'veyyo | Taylor Russell as Ai'dovor | Cameron Britton as Va'migere | Lee Sang-hee as Nak-yeon | Um Mun-suk as Yang-bae | Im Hyun-sik as Hae-sul,1058424
The Last Kiss,https://cinejoy.to/movie/1318467-the-last-kiss-2026,https://image.tmdb.org/t/p/w500/cLZ7iFZc25vluSIKt3XtdSTait4.jpg,2026-09-15,6.4,97,,Yoko Okumura,"Laurel always imagined her first kiss would be a fairy tale. Instead, that fantasy turns frightening when she's cursed with an ability to see the death of anyone she kisses. After a vision reveals her crush is doomed to die in a strange murder spree targeting her closest friends, she races to unmask the killer before the mystery becomes a massacre.",en,Mckenna Grace as Laurel Hansen | Arkira Chantaratananond as Poppy Yang | Jaden Michael as Evan Geller | Riley Davis as Tyler McKinney | Bergman Freedman as Noah Brock | Kate Drummond as Diane Hansen | Samantha Espie as Ranger Pauline | Cooper Levy as Chuck Beasley | Eve Edwards as Bree Williams | Stephanie Moore as Shannon McKinney,1318467
The Hunger Games: Sunrise on the Reaping,https://cinejoy.to/movie/1300968-the-hunger-games-sunrise-on-the-reaping-2026,https://image.tmdb.org/t/p/w500/hDDBRwPOIztAhawTjWWsEA7rDis.jpg,2026-11-18,0.0,0,,Francis Lawrence,"Return to the world of Panem 24 years before the events of The Hunger Games, starting on the morning of the reaping of the 50th Hunger Games, also known as the Second Quarter Quell.",en,Joseph Zada as Haymitch Abernathy | Ralph Fiennes as President Coriolanus Snow | Jesse Plemons as Plutarch Heavensbee | Mckenna Grace as Maysilee Donner / Merrilee Donner | Whitney Peak as Lenore Dove Baird | Elle Fanning as Effie Trinket | Maya Hawke as Wiress | Lili Taylor as Mags Flanagan | Glenn Close as Drusilla Sickle | Kieran Culkin as Caesar Flickerman,1300968
Evil Dead Burn,https://cinejoy.to/movie/1212763-evil-dead-burn-2026,https://image.tmdb.org/t/p/w500/uRxrNXQWkHoENm3nwVOZDYSCx2F.jpg,2026-07-07,7.68,110,,Sébastien Vaniček,"After her husband's abrupt death, Alice seeks solace with his remaining family — descendants of a leading researcher on demonic possession. As her in-laws transform one by one into creatures that feed on fear, she comes to discover that the vows she took in life survive even in death.",en,Souheila Yacoub as Alice | Tandi Wright as Susan | Hunter Doohan as Joseph | Luciane Buchanan as Thya | Erroll Shand as Edgar | Maude Davey as Polly | George Pullar as Will | Greta van den Brink as Jessica | Keanu Karim as Jared | Victory Ndukwe as Leo,1212763
Backrooms,https://cinejoy.to/movie/1083381-backrooms-2026,https://image.tmdb.org/t/p/w500/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,2026-05-27,7.0,111,,Kane Parsons,A strange doorway appears in the basement of a furniture showroom.,en,Chiwetel Ejiofor as Clark | Renate Reinsve as Mary | Finn Bennett as Bobby | Lukita Maxwell as Kat | Mark Duplass as Phil | Avan Jogia as Naren Warne | Robert Bobroczkyi as Pirate Clark | Ember Ambrose as Young Mary | Krista Kosonen as Nora | Philip Granger as Meterman,1083381
One Night Only,https://cinejoy.to/movie/1433367-one-night-only-2026,https://image.tmdb.org/t/p/w500/f1v8IcYcQggeq1N0unoMJMrzTd9.jpg,2026-08-06,6.51,103,,Will Gluck,Two love-starved strangers crash into each other on the one night of the year when single people are allowed to have sex.,en,Monica Barbaro as Allie | Callum Turner as Owen | Maya Hawke as Malika | King Princess as Jacinta | Molly Ringwald as Linda | LeVar Burton as Rick | Charlie Gillespie as Ezra Strong | Quintessa Swindell as Arya | Mateo Ray Garcia as Troy | Okieriete Onaodowan as Tejan,1433367
The Invite,https://cinejoy.to/movie/950028-the-invite-2026,https://image.tmdb.org/t/p/w500/b7Dr8Chzse8VagexAporUu2RtLx.jpg,2026-06-25,7.258,107,,Olivia Wilde,"Joe and Angela's marriage is on thin ice. When they invite their enigmatic upstairs neighbors for a dinner party, the night spirals into unexpected places. Have they reignited the spark or lit the match that burns it all down?",en,Seth Rogen as Joe | Olivia Wilde as Angela | Penélope Cruz as Piña | Edward Norton as Hawk | Skip Howland as Doorman (uncredited) | Mel Powell as Bartender (uncredited) | Rachel Thurow as Subway Goer (uncredited) | Mario Valdez as Subway Goer (uncredited),950028
Spider-Man: Homecoming,https://cinejoy.to/movie/315635-spider-man-homecoming-2017,https://image.tmdb.org/t/p/w500/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,2017-07-05,7.333,133,,Jon Watts,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",en,Tom Holland as Peter Parker / Spider-Man | Michael Keaton as Adrian Toomes / Vulture | Robert Downey Jr. as Tony Stark / Iron Man | Marisa Tomei as May Parker | Jon Favreau as Happy Hogan | Gwyneth Paltrow as Pepper Potts | Zendaya as Michelle | Donald Glover as Aaron Davis | Jacob Batalon as Ned | Laura Harrier as Liz,315635
Spider-Man: Into the Spider-Verse,https://cinejoy.to/movie/324857-spider-man-into-the-spider-verse-2018,https://image.tmdb.org/t/p/w500/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,8.401,117,,Bob Persichetti,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",en,Shameik Moore as Miles Morales (voice) | Jake Johnson as Peter B. Parker (voice) | Hailee Steinfeld as Gwen Stacy (voice) | Mahershala Ali as Uncle Aaron (voice) | Brian Tyree Henry as Jefferson Davis (voice) | Lily Tomlin as Aunt May (voice) | Luna Lauren Vélez as Rio Morales (voice) | Zoë Kravitz as Mary Jane (voice) | John Mulaney as Spider-Ham (voice) | Kimiko Glenn as Peni Parker (voice),324857
Call My Agent! The Movie,https://cinejoy.to/movie/1365884-call-my-agent-the-movie-2026,https://image.tmdb.org/t/p/w500/p4SvSFIkjCs4y0C7yAcYP9XNmP2.jpg,2026-08-29,6.245,117,,Émilie Noblet,"Five years after ASK Agency closed, debut director Andréa loses her lead actor just days before filming and reunited with her old team — for better or worse.",fr,Camille Cottin as Andréa Martel | Thibault de Montalembert as Mathias Barneville | Grégory Montel as Gabriel Sarda | Liliane Rovère as Arlette Azémar | Fanny Sidney as Camille Valentini | Laure Calamy as Noémie Leclerc | Nicolas Maury as Hervé André-Jezak | Ophélia Kolb as Collette Brancillon | Anne Marivin as Élise Formain | Laetitia Casta as Laetitia Casta,1365884
Why Did I Get Married Again?,https://cinejoy.to/movie/1522689-why-did-i-get-married-again-2026,https://image.tmdb.org/t/p/w500/rwaxLuOkJ5mMvJU5juNaPcKADOW.jpg,2026-09-08,6.7,111,,Tyler Perry,"The couples reunite for the destination wedding of Marcus and Angela's daughter, bringing drama old and new as they ask, ""Why did we get married again?""",en,Tyler Perry as Terry | Taraji P. Henson as Roselyn | Jill Scott as Sheila | Richard T. Jones as Mike | Tasha Smith as Angela | Michael Jai White as Marcus | Sharon Leal as Dianne | Lamman Rucker as Troy | Armani Greer as Jasmine | Everett Osborne as Wesley,1522689
Jurassic World Rebirth,https://cinejoy.to/movie/1234821-jurassic-world-rebirth-2025,https://image.tmdb.org/t/p/w500/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,2025-06-23,6.259,134,,Gareth Edwards,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",en,Scarlett Johansson as Zora Bennett | Mahershala Ali as Duncan Kincaid | Jonathan Bailey as Dr. Henry Loomis | Rupert Friend as Martin Krebs | Manuel Garcia-Rulfo as Reuben Delgado | Luna Blaise as Teresa Delgado | David Iacono as Xavier Dobbs | Audrina Miranda as Isabella Delgado | Philippine Velge as Nina | Bechir Sylvain as LeClerc,1234821
Swapped,https://cinejoy.to/movie/1007757-swapped-2026,https://image.tmdb.org/t/p/w500/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,2026-05-01,8.869,102,,Nathan Greno,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",en,Michael B. Jordan as Ollie (voice) | Juno Temple as Ivy (voice) | Tracy Morgan as Boogle / Firewolf (voice) | Cedric the Entertainer as Caloo (voice) | Justina Machado as Calli (voice) | Nate Torrence as Lodd (voice) | Camden Brooks as Young Ollie (voice) | Táta Vega as Grandma / Mrs. Dung Beetle (voice) | Ambika Mod as Violet (voice) | Lolly Adefope as Lily (voice),1007757
The Last House,https://cinejoy.to/movie/1284041-the-last-house-2026,https://image.tmdb.org/t/p/w500/6JU7E8Vv2M11egkctWVOScxWR75.jpg,2026-08-06,6.85,110,,Louis Leterrier,A family suddenly sealed inside their home must work together to survive against dwindling resources and the ominous threat keeping them trapped.,en,Greta Lee as Ann | Wagner Moura as Jason | Riley Chung as Ruth (8 Years Old) | Noah Alexander Sosnowski as Graham (12 Years Old) | Emma Ho as Ruth (13 Years Old) | Gabriel Barbosa as Graham (17 Years Old) | Arden Cho as Adult Ruth | Audrey Anderson as Susan | Sid Edwards as Max Richardson | Eveline Reynolds-Boison as Marcia Richardson,1284041
War Machine,https://cinejoy.to/movie/1265609-war-machine-2026,https://image.tmdb.org/t/p/w500/ril8yx5SOmj0KjNlftsdfIp00fr.jpg,2026-02-12,7.49,110,,Patrick Hughes,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",en,Alan Ritchson as 81 | Stephan James as 7 | Blake Richardson as 15 | Dennis Quaid as Sheridan | Esai Morales as Torres | Jai Courtney as Squad Leader | Alex King as 44 | Keiynan Lonsdale as 60 | Jack Patten as 109 | James Beaufort as 23,1265609
Gandhari,https://cinejoy.to/movie/1355228-gandhari-2026,https://image.tmdb.org/t/p/w500/hCHei97aPYCCsh4vicz9X0wmdFV.jpg,2026-09-03,7.196,117,,Devashish Makhija,"When a mother loses her eyesight and her daughter in a kidnapping, she takes matters into her own hands to hunt down those responsible.",hi,Taapsee Pannu as Bani Sikdar | Ishwak Singh as Gokul Sikdar | Mita Vashisht as Jhunu Amba | Swastika Mukherjee as Miss Churni | Chhaya Kadam as Uma Patra | Jatin Sarna as Kabir | Prashant Narayanan as Blackhole Leader | Chandan Roy as Somesh Yadav | Vishwanath Chatterjee as Inspector Saha | Priti Shroff as ASI Sanjukta,1355228
Go Team!,https://cinejoy.to/movie/1558568-go-team-2026,https://image.tmdb.org/t/p/w500/jM8LRvzYIqZqw6Si5xNECiHFDgM.jpg,2026-09-11,5.258,93,,Diego Núñez Irigoyen,"When their team-building event gets downgraded to a tiny village, a cheese company's staff think it can't get worse — then they learn about the layoffs.",es,Alexandra Jiménez as Olga | Maribel Verdú as Pepa | Pedro Casablanc as Domingo | Raúl Tejón as Marco | Blanca Martínez as Laura | Victor Rebull | Pepe Viyuela as Padilla | Saturnino García | Ismael Fritschi as Parrondo | Clara de Ramon as Natalia,1558568
Elize: Shadows of a Woman,https://cinejoy.to/movie/1487861-elize-shadows-of-a-woman-2026,https://image.tmdb.org/t/p/w500/l3wevYWTpiZSUEM5B0Q8c21ALAD.jpg,2026-07-22,7.533,93,,Vellas,"In this retelling of a real case, a former escort discovers her wealthy husband's infidelity and struggles to cope as betrayal poisons their marriage.",pt,"Lorena Comparato as Elize Matsunaga | Henrique Kimura as Marcos Matsunaga | Denise Weinberg as Tia Marta | Gustavo Falcão as Heitor | Julia Shimura as Clarice | Flora Sandyá as Babá | Edson Kameda as Takashi | Miwa Yanagizawa as Masuyo | Arthur Toyoshima as Lauro | Julia Konrad as Larissa ""aka"" Bianca",1487861
GOAT,https://cinejoy.to/movie/1297842-goat-2026,https://image.tmdb.org/t/p/w500/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,2026-02-11,8.055,100,,Tyree Dillihay,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",en,Caleb McLaughlin as Will Harris (voice) | Gabrielle Union as Jett Fillmore (voice) | Stephen Curry as Lenny Williamson (voice) | Aaron Pierre as Mane Attraction (voice) | Nicola Coughlan as Olivia Burke (voice) | David Harbour as Archie Everhardt (voice) | Nick Kroll as Modo Olachenko (voice) | Jenifer Lewis as Flo Everson (voice) | Patton Oswalt as Dennis Cooper (voice) | Jelly Roll as Grizz (voice),1297842
KPop Demon Hunters,https://cinejoy.to/movie/803796-kpop-demon-hunters-2025,https://image.tmdb.org/t/p/w500/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg,2025-06-20,7.997,96,,Chris Appelhans,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",en,Arden Cho as Rumi (voice) | May Hong as Mira (voice) | Ji-young Yoo as Zoey (voice) | Ahn Hyo-seop as Jinu (voice) | Yunjin Kim as Celine (voice) | Ken Jeong as Bobby (voice) | Lee Byung-hun as Gwi-Ma (voice) | Daniel Dae Kim as Healer Han / Additional Voices (voice) | Joel Kim Booster as Variety Show Host 1 / Idol Host / Romance Saja (voice) | Liza Koshy as Host (voice),803796
The Secret Woman,https://cinejoy.to/movie/1631807-the-secret-woman-2026,https://image.tmdb.org/t/p/w500/5FC5vUHFz0fbJOd0bhyzJpCSLrc.jpg,2026-08-28,6.411,119,,Barbara Topsøe-Rothenborg,"After discovering she has a family and a shipping empire, a woman with amnesia returns to a wealthy and seemingly perfect past to uncover why she left.",da,Natalie Madueño as Helene Söderberg | Claes Bang as Edmund | Pål Sverre Hagen as Joachim | Stina Ekblad as Caroline | Ingrid Bolsø Berdal as Iben Rask | Thea Sofie Loch Næss as Maria | Lars Simonsen as Aksel Söderberg | Ida Appel as Lulu | Nina Christrup as Librarian | David Elting as Alexander,1631807
Gatta Kusthi 2,https://cinejoy.to/movie/1509599-gatta-kusthi-2-2026,https://image.tmdb.org/t/p/w500/5U8MWIk9XZ60NALyOTpyX7vXIR7.jpg,2026-07-03,4.9,153,,Chella Ayyavu,"Picks up after the first film, with Veera and Keerthi balancing parenthood and Keerthi's wrestling career, featuring a role reversal where Veera takes on more domestic responsibilities.",ta,Vishnu Vishal as Veera | Aishwarya Lekshmi as Keerthi | Zara Zyanna as Madhi | Karunas as 'Mama' Ratnam | Munishkanth as 'Chithappa' Ganesan | Kaali Venkat as 'Sattam' Sattanathan | Lizzie Antony as Ratnam's Wife | Gajaraj as Keerthi's Father | Sreeja Ravi as Keerthi's Mother | Karunakaran as Partha,1509599
G.D.N,https://cinejoy.to/movie/1489543-g-d-n-2026,https://image.tmdb.org/t/p/w500/aAbvbKbNU6YyYDZ5ntSQcOygliw.jpg,2026-08-07,7.0,147,,Krishnakumar Ramakumar,G.D. Naidu overcomes challenges and defies a repressive colonial regime to become one of India's greatest innovators.,ta,R. Madhavan as GD Naidu | Priyamani as Chellammal | Sathyaraj as Ramaiah Pillai | Jayaram as Ambalapara Krishnan | Dushara Vijayan as Ranganayaki | Abdool Lee as Chidambaram | Thambi Ramaiah as Ramasamy Mama | Vinay Rai as Bhupendra | Ramesh Thilak | Karunakaran as Perunkili,1489543
The Gentlemen,https://cinejoy.to/movie/522627-the-gentlemen-2020,https://image.tmdb.org/t/p/w500/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg,2019-12-03,7.657,113,,Guy Ritchie,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",en,Matthew McConaughey as Michael Pearson | Charlie Hunnam as Ray | Michelle Dockery as Rosalind Pearson | Jeremy Strong as Matthew | Lyne Renee as Jackie | Colin Farrell as Coach | Henry Golding as Dry Eye | Tom Wu as Lord George | Chidi Ajufo as Bunny | Hugh Grant as Fletcher,522627
Anora,https://cinejoy.to/movie/1064213-anora-2024,https://image.tmdb.org/t/p/w500/cgXk2tNYhJZLXdBDO5DidAVzQ82.jpg,2024-10-14,7.076,139,,Sean Baker,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",en,Mikey Madison as Ani | Mark Eydelshteyn as Ivan | Yura Borisov as Igor | Karren Karagulian as Toros | Vache Tovmasyan as Garnik | Luna Sofía Miranda as Lulu | Lindsey Normington as Diamond | Darya Ekamasova as Galina Zakharov | Aleksey Serebryakov as Nikolai Zakharov | Anton Bitter as Tom,1064213
Oppenheimer,https://cinejoy.to/movie/872585-oppenheimer-2023,https://image.tmdb.org/t/p/w500/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,8.023,181,,Christopher Nolan,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,en,Cillian Murphy as J. Robert Oppenheimer | Emily Blunt as Kitty Oppenheimer | Matt Damon as Leslie Groves | Robert Downey Jr. as Lewis Strauss | Florence Pugh as Jean Tatlock | Josh Hartnett as Ernest Lawrence | Casey Affleck as Boris Pash | Rami Malek as David Hill | Kenneth Branagh as Niels Bohr | Benny Safdie as Edward Teller,872585
Everything Everywhere All at Once,https://cinejoy.to/movie/545611-everything-everywhere-all-at-once-2022,https://image.tmdb.org/t/p/w500/u68AjlvlutfEIcpmbYpKcdi09ut.jpg,2022-03-24,7.712,140,,Daniel Scheinert,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",en,Michelle Yeoh as Evelyn Wang | Stephanie Hsu as Joy Wang / Jobu Tupaki | Ke Huy Quan as Waymond Wang | James Hong as Gong Gong | Jamie Lee Curtis as Deirdre Beaubeirdre | Tallie Medel as Becky Sregor | Jenny Slate as Big Nose | Harry Shum Jr. as Chad | Biff Wiff as Rick | Sunita Mani as TV Musical - Queen,545611
CODA,https://cinejoy.to/movie/776503-coda-2021,https://image.tmdb.org/t/p/w500/BzVjmm8l23rPsijLiNLUzuQtyd.jpg,2021-08-13,7.882,112,,Sian Heder,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",en,Emilia Jones as Ruby Rossi | Marlee Matlin as Jackie Rossi | Troy Kotsur as Frank Rossi | Eugenio Derbez as Bernardo Villalobos | Ferdia Walsh-Peelo as Miles | Daniel Durant as Leo Rossi | Amy Forsyth as Gertie | Kevin Chapman as Brady | John Fiore as Tony Salgado | Lonnie Farmer as Arthur,776503
Nomadland,https://cinejoy.to/movie/581734-nomadland-2021,https://image.tmdb.org/t/p/w500/8Vc5EOUEIF1EUXuX9eLFf7BvN3P.jpg,2021-01-29,7.159,108,,Chloé Zhao,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",en,Frances McDormand as Fern | David Strathairn as Dave | Linda May as Linda | Swankie as Swankie | Gay DeForest as Gay | Patricia Grier as Patty | Angela Reyes as Angela | Carl R. Hughes as Carl | Douglas G. Soul as Doug | Ryan Aquino as Ryan,581734
Parasite,https://cinejoy.to/movie/496243-parasite-2019,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,8.49,133,,Bong Joon Ho,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",ko,Song Kang-ho as Kim Ki-taek | Lee Sun-kyun as Park Dong-ik | Cho Yeo-jeong as Yeon-kyo | Choi Woo-shik as Ki-woo | Park So-dam as Ki-jung | Lee Jung-eun as Moon-gwang | Jang Hye-jin as Chung-sook | Park Myung-hoon as Geun-se | Jung Zi-so as Da-hye | Jung Hyeon-jun as Da-song,496243
Green Book,https://cinejoy.to/movie/490132-green-book-2018,https://image.tmdb.org/t/p/w500/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,2018-11-16,8.225,130,,Peter Farrelly,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",en,Viggo Mortensen as Tony Lip | Mahershala Ali as Dr. Don Shirley | Linda Cardellini as Dolores | Sebastian Maniscalco as Johnny Venere | Dimiter D. Marinov as Oleg | Mike Hatton as George | P.J. Byrne as Record Exec | Joe Cortese as Gio Loscudo | Mary Agnes Nixon as Copa Coat Check Girl | Von Lewis as Bobby Rydell,490132
The Shape of Water,https://cinejoy.to/movie/399055-the-shape-of-water-2017,https://image.tmdb.org/t/p/w500/9zfwPffUXpBrEP26yp0q1ckXDcj.jpg,2017-12-01,7.23,123,,Guillermo del Toro,"An other-worldly story, set against the backdrop of Cold War era America circa 1962, where a mute janitor working at a lab falls in love with an amphibious man being held captive there and devises a plan to help him escape.",en,Sally Hawkins as Elisa Esposito | Michael Shannon as Richard Strickland | Richard Jenkins as Giles | Octavia Spencer as Zelda Fuller | Michael Stuhlbarg as Dr. Robert Hoffstetler | Doug Jones as Amphibian Man | David Hewlett as Fleming | Nick Searcy as General Hoyt | Stewart Arnott as Bernard | Nigel Bennett as Mihalkov,399055
Moonlight,https://cinejoy.to/movie/376867-moonlight-2016,https://image.tmdb.org/t/p/w500/qLnfEmPrDjJfPyyddLJPkXmshkp.jpg,2016-10-21,7.4,112,,Barry Jenkins,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",en,Trevante Rhodes as Black | André Holland as Kevin | Janelle Monáe as Teresa | Ashton Sanders as Chiron | Jharrel Jerome as Kevin Age 16 | Alex R. Hibbert as Little | Jaden Piner as Kevin Age 9 | Naomie Harris as Paula | Mahershala Ali as Juan | Shariff Earp as Terrence,376867
